collection_id,bin_id,batch_id,date,waste_type,weight_kg,collector,destination
WC-053,B20,AZG-O-053,2026-07-26,Organic,16.2,Team-C,Composting Unit
WC-054,B14,AZG-P-054,2026-08-01,Plastic,27.0,Team-B,Recycling Unit
WC-055,B20,AZG-O-055,2026-08-13,Organic,5.6,Team-C,Composting Unit
WC-056,B12,AZG-P-056,2026-08-11,Plastic,19.6,Team-A,Recycling Unit
WC-057,B15,AZG-O-057,2026-07-21,Organic,14.6,Team-A,Composting Unit
WC-058,B20,AZG-O-058,2026-07-22,Organic,18.7,Team-D,Composting Unit
WC-059,B15,AZG-O-059,2026-08-10,Organic,15.7,Team-C,Composting Unit
WC-060,B16,AZG-P-060,2026-08-05,Plastic,5.4,Team-A,Recycling Unit
WC-061,B06,,2026-08-10,Glass,23.3,Team-B,Recycling Unit
WC-062,B05,,2026-08-08,Metal,17.2,Team-C,Recycling Unit
WC-063,B19,,2026-08-12,Paper,18.9,Team-B,Recycling Unit
WC-064,B09,,2026-08-13,Plastic,13.6,Team-B,Recycling Unit
WC-065,B03,,2026-08-05,Paper,25.0,Team-B,Recycling Unit
WC-066,B10,,2026-07-25,Metal,10.7,Team-A,Recycling Unit
WC-067,B20,,2026-08-08,Organic,23.8,Team-D,Composting Unit
WC-068,B03,,2026-07-31,Paper,6.5,Team-C,Recycling Unit
WC-069,B08,,2026-07-21,Paper,24.0,Team-B,Recycling Unit
WC-070,B07,,2026-08-13,Plastic,8.3,Team-D,Recycling Unit
WC-071,B12,,2026-07-21,Plastic,11.5,Team-C,Recycling Unit
WC-072,B04,,2026-08-02,Paper,7.7,Team-A,Recycling Unit
WC-073,B15,,2026-07-18,Organic,9.0,Team-D,Composting Unit
WC-074,B02,,2026-08-01,Mixed,18.6,Team-C,Sorting Unit
WC-075,B17,,2026-07-28,Metal,12.3,Team-D,Recycling Unit
WC-076,B11,,2026-08-09,Organic,25.1,Team-D,Composting Unit
WC-077,B11,,2026-07-18,Organic,9.2,Team-D,Composting Unit
WC-078,B05,,2026-08-05,Metal,10.7,Team-C,Recycling Unit
WC-079,B19,,2026-07-29,Paper,6.1,Team-A,Recycling Unit
WC-080,B08,,2026-08-12,Paper,17.0,Team-A,Recycling Unit
WC-081,B02,,2026-08-11,Mixed,6.2,Team-B,Sorting Unit
WC-082,B19,,2026-08-11,Paper,7.3,Team-D,Recycling Unit
WC-083,B17,,2026-08-13,Metal,27.5,Team-B,Recycling Unit
WC-084,B17,,2026-08-04,Metal,22.9,Team-C,Recycling Unit
WC-085,B13,,2026-08-09,Organic,8.1,Team-D,Composting Unit
WC-086,B11,,2026-08-15,Organic,16.8,Team-D,Composting Unit
WC-087,B17,,2026-07-30,Metal,13.9,Team-C,Recycling Unit
WC-088,B13,,2026-07-18,Organic,11.1,Team-A,Composting Unit
WC-089,B09,,2026-07-31,Plastic,14.6,Team-C,Recycling Unit
WC-090,B05,,2026-08-01,Metal,13.5,Team-B,Recycling Unit
WC-091,B15,,2026-07-26,Organic,13.7,Team-A,Composting Unit
WC-092,B14,,2026-08-09,Plastic,11.8,Team-D,Recycling Unit
WC-093,B14,,2026-08-13,Plastic,16.1,Team-D,Recycling Unit
WC-094,B07,,2026-08-14,Plastic,17.3,Team-D,Recycling Unit
WC-095,B10,,2026-08-05,Metal,23.5,Team-C,Recycling Unit
WC-096,B11,,2026-07-19,Organic,19.6,Team-B,Composting Unit
WC-097,B04,,2026-08-08,Paper,9.7,Team-C,Recycling Unit
WC-098,B14,,2026-08-13,Plastic,24.8,Team-A,Recycling Unit
WC-099,B20,,2026-08-04,Organic,7.2,Team-C,Composting Unit
WC-100,B15,,2026-08-01,Organic,6.9,Team-D,Composting Unit
WC-101,B15,,2026-07-21,Organic,27.1,Team-A,Composting Unit
WC-102,B17,,2026-07-30,Metal,18.7,Team-D,Recycling Unit
WC-103,B20,,2026-08-09,Organic,26.8,Team-A,Composting Unit
WC-104,B06,,2026-07-18,Glass,18.6,Team-A,Recycling Unit
WC-105,B11,,2026-08-04,Organic,8.9,Team-A,Composting Unit
WC-106,B12,,2026-07-31,Plastic,18.2,Team-B,Recycling Unit
WC-107,B14,,2026-08-01,Plastic,22.6,Team-D,Recycling Unit
WC-108,B16,,2026-07-24,Plastic,16.3,Team-C,Recycling Unit
WC-109,B03,,2026-08-13,Paper,7.8,Team-D,Recycling Unit
WC-110,B03,,2026-07-31,Paper,7.0,Team-C,Recycling Unit
WC-111,B15,,2026-07-29,Organic,22.8,Team-A,Composting Unit
WC-112,B14,,2026-08-08,Plastic,12.7,Team-D,Recycling Unit
WC-113,B17,,2026-08-08,Metal,11.2,Team-D,Recycling Unit
WC-114,B08,,2026-07-26,Paper,12.2,Team-A,Recycling Unit
WC-115,B20,,2026-07-21,Organic,26.5,Team-C,Composting Unit
WC-116,B09,,2026-07-20,Plastic,13.8,Team-C,Recycling Unit
WC-117,B04,,2026-08-02,Paper,26.5,Team-B,Recycling Unit
WC-118,B16,,2026-07-21,Plastic,16.0,Team-B,Recycling Unit
WC-119,B14,,2026-08-15,Plastic,21.5,Team-D,Recycling Unit
WC-120,B20,,2026-07-25,Organic,7.7,Team-D,Composting Unit
